time,high_BTC,low_BTC,open_BTC,volumefrom_BTC,volumeto_BTC,close_BTC,conversionType_BTC,conversionSymbol_BTC,high_ETH,low_ETH,open_ETH,volumefrom_ETH,volumeto_ETH,close_ETH,conversionType_ETH,conversionSymbol_ETH
2024-01-20,41846.45,41433.27,41625.47,13096.14,544668570.57,41677.08,direct,,2490.05,2452.6,2490.05,114757.82,283565628.23,2470.31,direct,
2024-01-21,41862.83,41493.59,41677.08,9176.94,382561229.54,41570.17,direct,,2480.59,2451.91,2470.31,84186.67,207909134.54,2455.35,direct,
2024-01-22,41669.9,39396.81,41570.17,56109.4,2270442343.15,39523.63,direct,,2464.27,2302.07,2455.35,382384.29,908763742.8,2311.54,direct,
2024-01-23,40136.09,38512.34,39523.63,46007.49,1805745649.27,39876.44,direct,,2349.2,2165.34,2311.54,476808.58,1064700522.86,2241.32,direct,
2024-01-24,40526.25,39429.31,39876.44,37009.85,1476062916.95,40078.62,direct,,2262.69,2195.63,2241.32,271737.21,605305544.17,2234.13,direct,
2024-01-25,40280.91,39523.94,40078.62,29183.88,1164224625.52,39941.74,direct,,2241.03,2170.05,2234.13,242755.56,536955642.14,2217.5,direct,
2024-01-26,42227.71,39814.87,39941.74,42739.48,1763833855.75,41816.55,direct,,2281.01,2194.89,2217.5,281209.33,631732275.0,2267.33,direct,
2024-01-27,42191.83,41393.22,41816.55,10632.46,444567824.09,42124.02,direct,,2282.56,2251.19,2267.33,121435.42,275424730.41,2267.97,direct,
2024-01-28,42822.8,41632.18,42124.02,16615.66,702267432.76,42028.92,direct,,2307.73,2239.84,2267.97,165618.01,376754792.96,2256.6,direct,
2024-01-29,43308.42,41804.05,42028.92,27783.74,1184671101.99,43302.28,direct,,2322.48,2233.69,2256.6,215146.92,490260629.87,2317.51,direct,
2024-01-30,43855.77,42690.4,43302.28,34500.06,1498626265.1,42943.64,direct,,2391.57,2297.16,2317.51,279970.77,655413615.82,2343.1,direct,
2024-01-31,43734.38,42276.82,42943.64,39491.24,1695950546.73,42555.08,direct,,2351.47,2263.16,2343.1,268083.72,621018581.0,2281.77,direct,
2024-02-01,43267.39,41855.88,42555.08,29018.49,1234469121.23,43073.2,direct,,2310.4,2239.78,2281.77,217264.4,495660912.66,2303.34,direct,
2024-02-02,43452.76,42536.21,43073.2,26779.09,1152442855.72,43181.71,direct,,2323.08,2280.8,2303.34,191680.68,441562111.31,2307.85,direct,
2024-02-03,43355.76,42874.37,43181.71,7556.6,325725942.96,42999.52,direct,,2328.23,2292.31,2307.85,96227.34,222308235.56,2295.87,direct,
2024-02-04,43093.79,42232.02,42999.52,9589.32,410404369.06,42570.21,direct,,2309.1,2267.59,2295.87,142393.17,326706078.21,2288.68,direct,
2024-02-05,43518.7,41931.59,42570.21,24867.17,1062866796.14,42664.56,direct,,2335.71,2268.15,2288.68,198435.62,456661905.21,2299.16,direct,
2024-02-06,43360.05,42526.92,42664.56,22482.95,966265875.57,43091.51,direct,,2392.04,2296.27,2299.16,306229.12,718267813.82,2372.2,direct,
2024-02-07,44402.0,42766.8,43091.51,30331.77,1319628672.43,44339.04,direct,,2473.23,2353.16,2372.2,272427.16,652240112.9,2424.33,direct,
2024-02-08,45622.13,44333.87,44339.04,39654.68,1785332802.43,45304.61,direct,,2462.14,2411.45,2424.33,348490.6,846989854.44,2419.79,direct,
2024-02-09,48208.27,45257.22,45304.61,50590.41,2379925849.32,47154.23,direct,,2523.95,2419.06,2419.79,403815.63,1002058339.27,2487.62,direct,
2024-02-10,48166.14,46894.61,47154.23,16452.46,780554926.36,47768.12,direct,,2517.14,2473.58,2487.62,150601.42,376068111.04,2500.87,direct,
2024-02-11,48597.46,47592.04,47768.12,19858.95,956986637.1,48311.16,direct,,2540.37,2494.72,2500.87,167579.98,421659247.33,2507.91,direct,
2024-02-12,50339.2,47718.59,48311.16,47112.86,2319184140.26,49942.97,direct,,2666.3,2472.79,2507.91,323858.15,833389992.06,2660.56,direct,
2024-02-13,50392.92,48336.83,49942.97,42027.05,2075339722.8,49733.11,direct,,2686.7,2591.27,2660.56,387685.63,1025294105.03,2641.6,direct,
2024-02-14,52085.66,49272.58,49733.11,43948.58,2252886326.88,51844.19,direct,,2788.42,2619.8,2641.6,359500.08,980680072.11,2777.51,direct,
2024-02-15,52845.45,51357.81,51844.19,42990.13,2239765884.49,51934.57,direct,,2867.69,2762.64,2777.51,397615.65,1118227404.91,2825.35,direct,
2024-02-16,52598.05,51604.88,51934.57,32295.2,1680749372.19,52163.28,direct,,2859.47,2744.76,2825.35,318932.07,896210606.48,2804.05,direct,
2024-02-17,52201.89,50647.34,52163.28,17696.94,910308869.83,51668.78,direct,,2806.14,2720.42,2804.05,165464.46,458634232.92,2787.0,direct,
2024-02-18,52393.59,51194.3,51668.78,14716.3,762533081.81,52139.33,direct,,2895.47,2766.78,2787.0,216262.87,610424136.56,2881.4,direct,
